,,,,,Outcome,Governance,,,Macroeconomic,,,Fiscal,,,,,,,,,,,Demograpy and Access,,,,,Geography and Location,,,,,,,,,Pendapatan,,,,,,,,Belanja Menurut Jenis,,,,,,Belanja Menurut Fungsi,,,,,,,,
IDP,ID,Year,T,Nama,Corrupt,FinAudit,PolComm,YTElection,Resource,Industry,GDPCap,NRRev,GAF,SAF,GSExp,CapExp,GrantExp,SocAssExp,AdminFunc,InfraFunc,EduFunc,HealthFunc,Density,YearsSch,Povrate,Literacy,ElecAcces,Temperature,Rainfall,Elevation,Area,DistCapital,DistJKT,,PDRB (Rp Juta),Populasi,Pajak,Retribusi,PAD (dalam juta Rupiah),DBH,DAU,DAK,TKD (Transfer ke Daerah),PENDAPATAN (TOTREV),Pegawai,Barang Jasa,Modal,BELANJA,Hibah,Bansos,Ekonomi,Kesehatan,Ketertiban dan Keamanan,Lingkungan Hidup,Pariwisata dan Budaya,Pelayanan Umum,Pendidikan,Perlindungan Sosial,Perumahan dan Fasilitas Umum
1100,1101,2010,1,Kab. Simeulue,0,1,0.90,2,39.82,9.75,13.59,12.14,76.09,11.77,21.06,15.82,4.63,1.93,43.26,4.73,24.99,10.60,38.67,8.17,23.61,98.66,76.56,26,3601,75.85,2051,336,1541,,"1,078,217","79,333",778,"1,911","7,987","34,912","218,814","33,836","287,561","307,381","165,096","64,830","48,706","307,810","14,250","5,940","33,550,946,004","32,626,815,377","2,709,357,365","8,356,806,834","1,849,485,319","133,148,333,341","76,931,201,105","4,082,009,747","14,555,363,414"
1100,1101,2011,2,Kab. Simeulue,0,3,0.90,1,39.14,9.98,13.73,9.55,75.87,14.59,14.76,24.02,4.22,1.76,29.02,16.52,31.11,9.69,39.83,8.26,22.96,98.85,85.33,26,2886,75.85,2051,336,1541,,"1,122,210","81,710","1,455","1,242","7,231","32,731","260,139","50,020","342,890","407,388","178,409","49,878","81,156","337,885","14,250","5,940","31,117,412,487","32,746,151,769","3,644,464,694","5,829,919,264","1,309,234,545","98,065,168,969","105,131,337,902","4,220,078,682","55,820,969,462"
1100,1101,2012,3,Kab. Simeulue,0,3,0.90,0,38.75,10.13,14.10,7.63,81.29,11.08,19.91,15.00,2.74,0.58,29.31,9.07,32.19,11.18,40.79,8.34,21.88,99.29,89.49,26,3466,75.85,2051,336,1541,,"1,180,151","83,680","2,747","6,801","14,927","29,062","309,799","42,235","381,096","419,857","237,390","79,007","59,547","396,916","10,882","2,290","6,660,813,924","44,367,540,246","48,431,193,717","7,760,674,144","2,521,368,683","116,350,864,733","127,762,908,059","7,056,478,388","36,003,720,189"
1100,1101,2013,4,Kab. Simeulue,0,3,0.90,4,38.41,10.33,14.33,6.90,77.55,15.55,20.18,17.66,2.98,0.71,33.22,14.27,21.55,13.29,42.04,8.55,20.57,99.79,95.88,26,3509,75.85,2051,336,1541,,"1,235,543","86,246","3,136","6,634","15,310","30,729","345,243","69,202","445,174","485,546","260,313","95,054","83,195","471,000","14,024","3,326","53,232,501,187","62,573,170,251","6,134,937,031","7,235,627,366","5,360,578,658","156,475,288,015","101,492,007,081","11,263,917,855","67,232,260,228"
1100,1101,2014,5,Kab. Simeulue,0,3,0.90,3,37.85,10.44,14.62,5.29,80.48,14.24,21.94,24.47,0.23,0.33,33.22,14.27,21.55,13.29,42.97,8.89,19.92,99.63,96.61,26,3442,75.85,2051,336,1541,,"1,289,096","88,157","3,168","1,273","34,957","24,882","378,820","67,027","470,730","654,973","287,937","124,775","139,160","568,640","1,327","1,852","64,267,707,642","75,544,716,523","7,406,722,035","8,735,587,729","6,471,837,586","188,912,935,503","122,531,507,889","13,598,951,082","81,169,645,388"
1100,1101,2015,6,Kab. Simeulue,0,4,0.90,2,37.52,10.27,15.30,5.29,80.48,14.24,21.94,24.47,10.63,0.03,42.35,17.32,29.26,16.62,42.85,8.90,20.43,99.00,98.16,26,3622,75.85,2051,336,1541,,"1,344,659","87,907","8,779","1,273","34,957","24,882","378,820","67,027","470,730","654,973","287,937","124,775","139,160","568,640","60,446",170,"72,485,053,405","94,535,102,665","8,414,179,003","10,844,542,213","6,117,610,221","240,836,614,520","166,410,746,555","15,074,187,837","98,462,696,315"
1100,1101,2016,7,Kab. Simeulue,1,4,0.90,1,37.52,10.27,15.99,2.23,71.74,26.03,20.86,21.14,11.46,0.46,69.44,33.85,41.56,25.85,42.85,8.90,20.43,99.00,98.16,26,3852,75.85,2051,336,1541,,"1,405,844","87,907","5,722","1,603","48,646","13,686","439,544","159,484","612,714","874,344","268,650","178,666","181,132","856,672","98,168","3,973","180,299,918,756","221,439,129,097","14,860,545,666","18,028,533,230","10,515,723,870","594,847,260,822","356,016,794,504","27,385,062,006","289,950,676,218"
1100,1101,2017,8,Kab. Simeulue,0,4,0.90,0,37.52,10.27,16.70,2.94,72.12,24.94,27.57,24.78,4.95,0.56,33.31,19.49,18.65,12.99,42.85,8.90,20.43,99.00,98.16,26,3499,75.85,2051,336,1541,,"1,467,979","87,907","9,131","1,918","61,095","17,748","436,069","150,802","604,618","982,103","256,622","271,222","243,807","983,692","48,644","5,491","95,162,384,675","127,736,613,407","9,722,164,537","8,209,450,535","9,038,941,638","327,640,329,747","183,457,978,307","30,968,137,067","191,756,144,269"
1100,1101,2018,9,Kab. Simeulue,1,4,0.90,0,37.52,10.27,17.41,2.02,75.50,22.48,26.72,16.25,7.20,0.44,35.76,15.03,19.62,15.31,42.85,8.90,20.43,99.00,98.16,26,3489,75.85,2051,336,1541,,"1,530,153","87,907","6,880","1,714","63,146","11,900","444,555","132,389","588,844","827,762","267,858","226,010","137,451","845,887","60,934","3,705","66,721,221,024","129,493,560,451","11,291,891,912","11,864,863,849","9,418,897,621","302,485,279,038","165,929,496,400","21,573,571,730","127,108,530,521"
