;;;;;Outcome;Governance;;;Macroeconomic;;;Fiscal;;;;;;;;;;;Demograpy and Access;;;;;Geography and Location;;;;;
IDP;ID;Year;T;Nama;Corrupt;FinAudit;PolComm;YTElection;Resource;Industry;GDPCap;NRRev;GAF;SAF;GSExp;CapExp;GrantExp;SocAssExp;AdminFunc;InfraFunc;EduFunc;HealthFunc;Density;YearsSch;Povrate;Literacy;ElecAcces;Temperature;Rainfall;Elevation;Area;DistCapital;DistJKT
1100;1101;2010;1;Kab. Simeulue;0;1;0,90;2;39,82;9,75;71,68;12,14;76,09;11,77;21,06;15,82;4,63;1,93;43,26;4,73;24,99;10,60;8,26;8,17;23,61;98,66;76,56;26;3601;75,85;2051;336;1541
1100;1101;2011;2;Kab. Simeulue;0;3;0,90;1;39,14;9,98;72,91;9,55;75,87;14,59;14,76;24,02;4,22;1,76;29,02;16,52;31,11;9,69;8,45;8,26;22,96;98,85;85,33;26;2886;75,85;2051;336;1541
1100;1101;2012;3;Kab. Simeulue;0;3;0,90;0;38,75;10,13;75,10;7,63;81,29;11,08;19,91;15,00;2,74;0,58;29,31;9,07;32,19;11,18;8,63;8,34;21,88;99,29;89,49;26;3466;75,85;2051;336;1541
1100;1101;2013;4;Kab. Simeulue;0;3;0,90;4;38,41;10,33;77,29;6,90;77,55;15,55;20,18;17,66;2,98;0,71;33,22;14,27;21,55;13,29;8,77;8,55;20,57;99,79;95,88;26;3509;75,85;2051;336;1541
1100;1101;2014;5;Kab. Simeulue;0;3;0,90;3;37,85;10,44;79,37;5,29;80,48;14,24;21,94;24,47;0,23;0,33;33,22;14,27;21,55;13,29;8,92;8,89;19,92;99,63;96,61;26;3442;75,85;2051;336;1541
1100;1101;2015;6;Kab. Simeulue;0;4;0,90;2;37,52;10,27;72,01;5,29;80,48;14,24;21,94;24,47;10,63;0,03;42,35;17,32;29,26;16,62;10,25;8,90;20,43;99,00;98,16;26;3622;75,85;2051;336;1541
1100;1101;2016;7;Kab. Simeulue;1;4;0,90;1;37,52;10,27;74,30;2,23;71,74;26,03;20,86;21,14;11,46;0,46;69,44;33,85;41,56;25,85;10,39;8,90;20,43;99,00;98,16;26;3852;75,85;2051;336;1541
1100;1101;2017;8;Kab. Simeulue;0;4;0,90;0;37,52;10,27;76,66;2,94;72,12;24,94;27,57;24,78;4,95;0,56;33,31;19,49;18,65;12,99;10,51;8,90;20,43;99,00;98,16;26;3499;75,85;2051;336;1541
1100;1101;2018;9;Kab. Simeulue;1;4;0,90;0;37,52;10,27;16,45;2,02;75,50;22,48;26,72;16,25;7,20;0,44;35,76;15,03;19,62;15,31;51,06;8,90;20,43;99,00;98,16;26;3489;75,85;2051;336;1541
1100;1101;2019;10;Kab. Simeulue;1;4;0,00;0;37,52;10,27;17,00;1,67;74,59;23,74;32,84;20,58;0,55;0,29;33,50;13,94;19,23;18,62;51,69;8,90;20,43;99,00;98,16;26;3746;75,85;2051;336;1541
1100;1101;2020;11;Kab. Simeulue;1;4;0,00;0;36,27;11,47;17,32;6,60;79,33;14,07;23,01;12,24;0,49;0,22;40,39;11,36;21,14;16,57;50,78;9,34;18,49;100,42;99,57;27;3293;75,85;2051;336;1541
1100;1102;2010;1;Kab. Aceh Singkil;1;3;0,82;2;33,51;12,71;49,93;13,37;74,69;11,94;18,40;19,25;5,45;0,78;34,84;5,94;24,05;13,14;13,09;6,65;19,38;95,09;95,03;26;4226;54,15;2185;452;1374
1100;1102;2011;2;Kab. Aceh Singkil;0;3;0,82;1;33,51;12,71;51,12;10,44;77,54;12,02;23,96;0,00;5,54;0,80;32,45;15,69;22,57;10,64;13,34;6,65;19,38;95,09;95,03;26;3987;54,15;2185;452;1374
1100;1102;2012;3;Kab. Aceh Singkil;0;3;0,82;0;33,51;12,71;52,00;9,17;80,68;10,15;17,25;17,60;6,02;0,75;31,43;6,15;26,84;13,89;13,66;6,65;19,38;95,09;95,03;26;4437;54,15;2185;452;1374
1100;1102;2013;4;Kab. Aceh Singkil;0;3;0,82;4;33,51;12,71;53,15;7,32;79,35;13,33;18,60;24,98;4,70;0,54;28,83;11,93;22,26;15,25;13,96;6,65;19,38;95,09;95,03;26;3673;54,15;2185;452;1374
1100;1102;2014;5;Kab. Aceh Singkil;0;4;0,82;3;33,51;12,71;54,11;5,42;83,29;11,29;22,54;30,00;3,48;0,11;24,56;13,09;25,03;13,93;14,22;6,65;19,38;95,09;95,03;26;4589;54,15;2185;452;1374
